UserId	Username	Platform	Level	Rank	CurrentPCR	Registrations	Started	ZeroScore	NoShows	NoShowSharePct	RatingFromNoShow_DQ	RatingFromRealPlay	RatingNetDelta	Gold	Silver	Bronze	Disqualifications	LifetimeGold	LifetimeSilver	LifetimeBronze	Played_NMT	Prizes_NMT	TotalPrizes	IsBanned	BanEnd	Verdict
5C99BE5A-A7FB-49B1-AAFB-188E26693CA7	I_MACTEP_I	Epic	110	31	151	39	19	1	20	51.28	-274	414	140	3	3	3	0	4	5	7	17 / 2 / 0	9 / 0 / 0	9	true	2026-07-06 00:00:00.000	BANNED
8FD87705-6500-4717-B459-387B07D7B471	JuliaRybalka	Steam	110	15	116	52	27	2	25	48.08	-431	343	-88	3	3	2	0	4	4	5	15 / 12 / 0	8 / 0 / 0	8	true	2026-06-22 00:00:00.000	BANNED
B187E932-866F-454B-B455-A9F5F3240AF3	JIALIN0720	Steam	103	56	618	58	13	3	45	77.59	-620	283	-337	3	3	1	0	64	48	42	0 / 10 / 3	0 / 6 / 1	7			WATCH
4545581F-C2DB-4FA4-986E-9AEE3F9CCB48	Kaneki_Ken2907	Steam	110	18	91	42	16	0	26	61.90	-435	339	-96	0	3	4	0	3	7	6	12 / 4 / 0	7 / 0 / 0	7	true	2026-06-22 00:00:00.000	BANNED
0386A8AA-954F-44CF-B371-6C5BAB96943F	emer_85_he	Steam	103	0	127	34	15	0	19	55.88	-275	296	21	2	3	0	0	2	4	1	15 / 0 / 0	5 / 0 / 0	5	true	2026-06-22 00:00:00.000	BANNED
9101F54F-5F26-4451-A649-CB6314503C95	yaobaizhishang	Steam	100	69	927	41	25	3	16	39.02	-207	270	63	1	2	2	0	41	40	46	0 / 22 / 3	0 / 5 / 0	5	true	2024-06-17 00:00:00.000	WATCH
75018AAA-70E4-4268-824C-FCA484D9D433	keke7784	Steam	88	0	125	24	15	0	9	37.50	-142	223	81	1	2	2	0	1	3	2	12 / 3 / 0	5 / 0 / 0	5			WATCH
4D3EFD74-6B2B-4E65-B434-A63D08BC6F68	TTC-SWAX	Steam	77	0	81	22	14	0	8	36.36	-95	176	81	4	0	1	0	4	2	7	7 / 7 / 0	4 / 1 / 0	5	true	2026-07-06 00:00:00.000	BANNED
4CF530BA-2330-4DC0-BB8B-C03A55176EFC	angeperdu	Steam	110	6	146	21	14	0	7	33.33	-109	137	28	2	1	1	0	6	6	5	7 / 7 / 0	4 / 0 / 0	4			WATCH
