OriginalNick,Variant,Source,MatchedUsername,Level,Country,IsPayer
BEYOND xxHELP,BEYOND_xxHELP,username,,,,0
BEYOND xxHELP,BEYONDxxHELP,username,BEYONDxxHELP,100,UNITED STATES,1
Bionoc Bark,Bionoc_Bark,username,,,,0
Bionoc Bark,BionocBark,username,,,,0
Brazenleader#641,Brazenleader,username,,,,0
Brazenleader#641,Brazenleader641,username,Brazenleader641,49,AUSTRALIA,0
Courtney benning,Courtney_benning,username,,,,0
Courtney benning,Courtneybenning,username,,,,0
Flourylmp,FlouryImp,username,FlouryImp,76,UNITED KINGDOM,1
KGE SNEAKY ME,KGE_SNEAKY_ME,username,,,,0
KGE SNEAKY ME,KGESNEAKYME,username,,,,0
kikotheWplayer,kikotheplayer,username,,,,0
kiwiis#9694,kiwiis,username,,,,0
Lilstumpy328 aka Ayden,Ayden,username,,,,0
Lilstumpy328 aka Ayden,Lilstumpy328,username,Lilstumpy328,49,UNITED STATES,1
M00N1IGHT420,MOONlIGHT420,username,,,,0
Mikus#1994,Mikus,username,,,,0
Mustang25#701,Mustang25,username,,,,0
Mustang25#701,Mustang25701,username,,,,0
NoahDestroyer18. (xbox gamertag),NoahDestroyer18,username,NoahDestroyer18,63,UNITED STATES,1
Prstonrobinson,Prestonrobinson,username,,,,0
Silverwolf#1887,Silverwolf,username,,,,0
Silverwolf#1887,Silverwolf1887,username,Silverwolf1887,95,UNITED STATES,1
Taz( tasmanian devil ),Taz,username,,,,0
TheShadows#4966,TheShadows,username,,,,0
TheShadows#4966,TheShadows4966,username,TheShadows4966,36,UNITED KINGDOM,1
